category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	supp_pdf	topics	status
primary_research	Liu L, He P, Wang Y et al.	Engineering sonogenetic EchoBack-CAR T cells.	Cell	2025	40179881	10.1016/j.cell.2025.02.035	PMC12085297	https://pmc.ncbi.nlm.nih.gov/articles/PMC12085297/	pdfs/liu_2025_pmid40179881.pdf		design_engineering	downloaded_europepmc
primary_research	Jünemann W, Bley I, Rekowski L et al.	GD2-CAR NK-92 cell activity against neuroblastoma cells is insusceptible to TIGIT knockout.	Cancer immunology, immunotherapy : CII	2025	40317320	10.1007/s00262-025-04010-6	PMC12049354	https://pmc.ncbi.nlm.nih.gov/articles/PMC12049354/	pdfs/j_nemann_2025_pmid40317320.pdf		neuroblastoma;CAR-NK;non_viral_geneediting	downloaded_europepmc
primary_research	Geraghty AC, Acosta-Alvarez L, Rotiroti MC et al.	Immunotherapy-related cognitive impairment after CAR T cell therapy in mice.	Cell	2025	40359942	10.1016/j.cell.2025.03.041	PMC12176077	https://pmc.ncbi.nlm.nih.gov/articles/PMC12176077/			toxicity	not_available_oa
primary_research	Foster JB, Madsen PJ, Harvey K et al.	Transient mRNA CAR T cells targeting GD2 provide dose-adjusted efficacy against diffuse midline glioma and high-grade glioma models.	Neuro-oncology	2025	40411488	10.1093/neuonc/noaf115	PMC12833531	https://pmc.ncbi.nlm.nih.gov/articles/PMC12833531/	pdfs/foster_2025_pmid40411488.pdf		DMG_DIPG_H3K27M;glioma_GBM;non_viral_geneediting	downloaded_europepmc
primary_research	Del Bufalo F, Quintarelli C, Locatelli F	Allogeneic CAR T cells: A new player in the field and the peculiar opportunities of the hospital exemption path.	Molecular therapy : the journal of the American Society of Gene Therapy	2025	40414221	10.1016/j.ymthe.2025.05.018	PMC12172255	https://pmc.ncbi.nlm.nih.gov/articles/PMC12172255/			allogeneic	not_available_oa
primary_research	Gu J, Li J, Xu Y et al.	Preliminary exploration of PSMA CAR-T combined with GD2 CAR-T for the treatment of refractory/relapsed gliomas.	Journal of translational medicine	2025	40420236	10.1186/s12967-025-06523-1	PMC12107844	https://pmc.ncbi.nlm.nih.gov/articles/PMC12107844/	pdfs/gu_2025_pmid40420236.pdf		glioma_GBM	downloaded_unpaywall
primary_research	Sodji QH, Shea A, Cappabianca D et al.	Low-dose radiation by radiopharmaceutical therapy enhances GD2 TRAC-CAR T cell efficacy in localized neuroblastoma.	Science advances	2025	40465728	10.1126/sciadv.adu4417	PMC12136040	https://pmc.ncbi.nlm.nih.gov/articles/PMC12136040/	pdfs/sodji_2025_pmid40465728.pdf		neuroblastoma	downloaded_browser
primary_research	De Mitri F, Giansanti M, Melaiu O et al.	Inhibition of autophagy enhances the antitumor efficacy of T/CAR T cell against neuroblastoma.	Journal of experimental & clinical cancer research : CR	2025	40611330	10.1186/s13046-025-03453-0	PMC12224479	https://pmc.ncbi.nlm.nih.gov/articles/PMC12224479/	pdfs/de_2025_pmid40611330.pdf		neuroblastoma	downloaded_europepmc
primary_research	Dysthe M, Navin I, van Leeuwen D et al.	Constitutive IL-7 signaling promotes CAR-NK cell survival in the solid tumor microenvironment but impairs tumor control.	Journal for immunotherapy of cancer	2025	40707132	10.1136/jitc-2024-010672	PMC12315002	https://pmc.ncbi.nlm.nih.gov/articles/PMC12315002/	pdfs/dysthe_2025_pmid40707132.pdf		CAR-NK;cytokine_armoring	downloaded_europepmc
primary_research	Navin I, Dysthe M, Menon PS et al.	TIGIT Affects CAR NK-cell Effector Function in the Solid Tumor Microenvironment by Modulating Immune Synapse Strength.	Cancer immunology research	2025	40736004	10.1158/2326-6066.CIR-24-0919	PMC12453546	https://pmc.ncbi.nlm.nih.gov/articles/PMC12453546/	pdfs/navin_2025_pmid40736004.pdf		CAR-NK	downloaded_europepmc
