,logFC,P.Value,adj.P.Val
TAS2R19,1.1433299,0.004014663,0.471587101
ALPPL2,1.4544158,0.004026752,0.472507667
ALPP,1.4544158,0.004026752,0.472507667
URB2,1.1594522,0.004047448,0.473935309
RPS23,1.5798193,0.004057596,0.474623354
CXorf50B,1.1854588,0.004133668,0.479483869
CXorf50,1.1854588,0.004133668,0.479483869
CTBP2,1.1730207,0.004151995,0.481107546
MAGIX,1.7233369,0.004201908,0.48486881
SNRPN,1.6956066,0.00421841,0.48626803
CNTD1,1.21067,0.004219213,0.485856533
BECN1,1.21067,0.004219213,0.485856533
EFHC1,1.7912546,0.004258447,0.487846754
CYP2D6,1.3805938,0.004260736,0.487606296
IKBKG,1.2663149,0.004263519,0.487422824
TMEM41A,1.1705875,0.00427464,0.487190587
