,logFC,P.Value,adj.P.Val
AFTPH,1.365877,0.031354022,0.967820289
ZNF577,1.6029612,0.031387688,0.968052745
LOC401847,1.514196,0.031460253,0.968677654
KLF5,1.4327636,0.031499515,0.969349386
ZFP14,1.8807439,0.031525168,0.969333497
TAF6L,1.203765,0.031584891,0.969828072
ANKRD10,2.4602334,0.031603417,0.970128856
USF2,2.0620718,0.031607321,0.969712948
C22orf27,1.1311331,0.031611309,0.969567633
LYPLA2,1.2433972,0.031621566,0.969347106
CETN2,1.2804265,0.031636199,0.969528231
C9orf131,1.0885205,0.031652127,0.969214484
ACRBP,2.1634603,0.031675884,0.969674717
SAPS2,1.6628418,0.03168356,0.969642583
STX10,1.5211644,0.031690967,0.969335348
TRPM7,1.4540932,0.03169577,0.969215485
ZNF34,1.4887204,0.03171044,0.968331736
PARM1,1.8736632,0.031754943,0.968891975
RBM4,1.6408033,0.031785222,0.969549593
ARHGEF1,1.8834274,0.03183238,0.970189132
ACSS2,1.1533562,0.03184261,0.969171841
RNF5P1,1.7488728,0.03191072,0.969121341
C19orf73,1.2182977,0.031924491,0.969009877
MRPL46,1.1145529,0.031932843,0.96899873
POLL,1.3570944,0.031951151,0.968496372
ZNF775,1.3612229,0.032029028,0.969270602
TRIM50,1.3675772,0.032054032,0.968971777
TRIM74,1.3675772,0.032054032,0.968971777
TMEM41B,1.3114312,0.032118981,0.968301012
CHRNA2,1.0613363,0.032120337,0.968079249
SLC35E2,1.5249193,0.032164008,0.968607319
SOLH,1.5376846,0.032196015,0.969045986
FLOT1,1.805514,0.032201632,0.968690286
ZNF746,1.2236788,0.032208964,0.968386554
PSMC4,1.3633527,0.032219207,0.968170604
NEDD4,1.6760156,0.032236717,0.968173161
OBFC1,1.2287636,0.032268802,0.968613211
KIAA1549,1.4601752,0.032386617,0.969791978
PSEN2,1.3342177,0.032426784,0.970471727
TTTY6,1.318426,0.032439687,0.970596497
GGT7,2.3011143,0.032508023,0.971594689
ADCK1,1.6433871,0.032511102,0.971164297
TMSB4Y,1.4689376,0.03251226,0.970937875
DENND5B,1.4908104,0.032516724,0.970810285
CARS2,1.5065503,0.032570412,0.971630033
TP53,1.3900949,0.032630961,0.972392152
SMUG1,1.642375,0.03265473,0.972318197
CXCR2,1.2930422,0.032660847,0.971979458
IDH3G,1.3115578,0.03268998,0.971545501
LOC388796,5.0128665,0.032795847,0.972092
C17orf28,1.518621,0.032833973,0.971666997
SNRPA,1.1466932,0.032841924,0.971643534
CYP46A1,1.0825466,0.032852632,0.971701645
NPY1R,27.61029,0.032869159,0.971156476
LOC653113,1.29581,0.032924898,0.971511796
LOC643856,1.29581,0.032924898,0.971511796
PLA2G4E,1.2982252,0.032967325,0.971473907
NBR2,1.4872535,0.033025405,0.972411795
ATP13A1,1.5820476,0.033030842,0.972056743
CAMK2A,1.1074501,0.033092791,0.972849248
ZNF248,1.3090683,0.033131717,0.972963996
OPHN1,1.3082832,0.033149323,0.973223824
GRM5,1.1772286,0.033164968,0.973425963
YY1,1.0530859,0.033170641,0.973335383
HAVCR1,1.2264767,0.033190685,0.972895936
LOC100101266,1.2264767,0.033190685,0.972895936
BET1,1.1489347,0.033216334,0.973134362
PITPNM2,1.2101986,0.033243235,0.973152787
HAUS4,1.4768358,0.033259539,0.973373649
TRIM62,1.6557858,0.033268301,0.973373713
SCN1B,1.4774188,0.033280796,0.973482998
DBT,1.3965224,0.033372527,0.974626891
YEATS4,1.2264646,0.033373338,0.974394493
ATP6V1G2,2.0336933,0.033374871,0.973671762
NCKAP5,1.2619295,0.033450587,0.97460135
SEPHS2,1.8329414,0.033494028,0.974844659
LOC100131892,1.8329414,0.033494028,0.974844659
LOC286382,1.5662677,0.033578708,0.975775839
RAB8A,1.5088028,0.033614028,0.976546845
HDAC1,1.6643223,0.033630336,0.976765246
R3HDM2,1.3969214,0.03366201,0.977174384
TOMM7,1.109687,0.033664457,0.976990187
APBB2,1.7984723,0.033673696,0.976748151
PRAP1,1.0644704,0.033676485,0.976574124
SIPA1,1.5143491,0.033724796,0.976700687
ULK3,1.4412117,0.033830084,0.97796577
ATOH7,1.1156719,0.033845533,0.978157914
TOX3,2.8052778,0.033856933,0.977978672
USP47,1.4321247,0.033859064,0.977786052
SLC22A10,1.305767,0.033868776,0.977304591
LOC142937,1.2076485,0.033871126,0.977118688
UFM1,1.2281258,0.033888764,0.977373761
NDUFA4,1.4642577,0.033910127,0.976469315
ABL1,1.3418628,0.033917628,0.976432277
CLCN7,1.7511245,0.03392222,0.97631153
CABP7,1.1921935,0.033939715,0.976562124
POGK,1.3744258,0.033948445,0.976560465
RPL3,1.1151162,0.034098083,0.978837845
PPFIA1,2.931823,0.034098903,0.978608579
ALPI,1.2182759,0.034107029,0.978589056
MEIS1,1.0786536,0.034112363,0.978236941
LCMT2,1.5126601,0.034148204,0.978759565
CPLX1,1.9204086,0.034180737,0.978934535
HOTAIR,2.441909,0.034207552,0.979450102
ALOX5AP,1.2230558,0.034228473,0.979292126
EFR3A,1.0845428,0.034232034,0.979141903
DEFA4,1.657008,0.034294026,0.979654267
KIAA0652,1.2114171,0.034294784,0.979424133
HIRA,1.7555459,0.034302485,0.979392361
KLF17,1.7126387,0.034525819,0.981481866
GIMAP2,1.9213794,0.034741977,0.985861262
TMEM26,2.432011,0.034745844,0.985216244
LOC100131170,1.2880096,0.034749112,0.985057536
RGL2,1.9138001,0.034768555,0.985106102
WDR62,1.2922137,0.034791827,0.985012019
PTPMT1,1.3267915,0.034949134,0.985948888
ICAM3,1.649742,0.034971789,0.986087309
SH3GLB2,1.9120101,0.034975167,0.985932385
ACSS3,1.9445093,0.035061749,0.986371315
SLC9A8,1.1260589,0.035173527,0.987017119
EPN3,1.3796014,0.035276342,0.988653969
ZNHIT2,1.3872458,0.035329975,0.98940847
KIAA1908,1.4853411,0.0353418,0.989490261
LOC643167,1.5498956,0.035357895,0.989442311
DDX11L2,1.2304322,0.03538604,0.989482353
NDUFA5,1.3962044,0.03538915,0.989320394
ATP5G2,1.7081661,0.035426548,0.988873222
MTHFR,1.6438063,0.035434254,0.988839926
SCYL1,1.4509503,0.03544435,0.988625128
LCMT1,1.2509657,0.035444733,0.988387726
C7orf44,1.6895989,0.035450683,0.988305631
CHRNB1,1.1638454,0.035478558,0.988834659
TPCN1,1.4020065,0.035493055,0.988247243
GALR2,1.0860348,0.035495985,0.98783379
ADSSL1,1.1929308,0.035611426,0.989807037
CEP135,1.9929639,0.035612623,0.989592768
TNFAIP8L2,1.1387701,0.035630366,0.989590896
PRDM15,1.2810782,0.035634018,0.989445011
ACOT4,1.9598358,0.035704149,0.989908222
SCOC,1.1565785,0.035719953,0.989852457
TRPV1,1.6374321,0.03573082,0.989660005
PLS1,2.0758765,0.035734975,0.989528449
POLD4,2.1449113,0.035792465,0.989887028
TMEM121,1.6902566,0.03584863,0.990947097
C7orf50,1.8921487,0.035930489,0.99123727
THNSL2,1.8165753,0.035982563,0.991689061
RTP1,1.0969083,0.03600945,0.991692216
ARHGEF10,1.2437975,0.036013825,0.991321354
LGALS4,2.3074539,0.03602115,0.991277423
C19orf71,1.4736354,0.03603221,0.991336281
WFDC3,1.727292,0.036033503,0.991126476
RAD51L3,1.1680462,0.036139926,0.992579576
LOC100131479,1.2494829,0.036143027,0.992419481
SERPINA5,6.0721254,0.036155001,0.992257892
LOC100132622,1.3034008,0.036198351,0.992467154
UPK1A,1.3034008,0.036198351,0.992467154
FRS3,1.296811,0.036223259,0.99241548
SYNGR3,1.4912819,0.036245901,0.992791033
GHDC,2.515347,0.036259394,0.992671266
KIAA0391,1.4041811,0.036300034,0.99280547
CARD8,1.2143625,0.036337778,0.992860322
COPZ1,1.6784444,0.036391796,0.992627783
LOC149501,2.239146,0.036398064,0.992311608
WFDC13,1.6056981,0.036440301,0.992732432
C6orf26,1.5272701,0.036465331,0.992198093
MSH5,1.5272701,0.036465331,0.992198093
DAK,1.6393692,0.03646852,0.992041937
HRASLS2,3.4386802,0.0364962,0.992309079
PNRC2,1.3843205,0.036528913,0.99222742
LOC100131261,1.3843205,0.036528913,0.99222742
LOC91948,1.2024751,0.036538914,0.992256522
SIAH1,1.295349,0.036553615,0.992413226
LENG8,1.1602001,0.036578463,0.992360479
C9orf38,1.2015738,0.036698865,0.993686156
SLFNL1,1.2927155,0.036701066,0.993261714
C22orf46,1.3374143,0.036714308,0.993136336
STX1A,1.5443604,0.036715585,0.992929162
FLJ27352,1.3824118,0.036725878,0.992965873
SDC4,1.7985935,0.036789081,0.992983483
SNX13,1.2041214,0.036808617,0.993028391
SEBOX,1.2382077,0.036821543,0.992895011
ZC3H7A,1.5335537,0.036846185,0.992836712
NXF1,1.4436066,0.03686418,0.992599537
PNPLA4,1.9664433,0.036910431,0.992402098
FLJ46111,2.4388132,0.036918017,0.992365948
TBCC,1.1980994,0.036936691,0.992627783
RPL28,1.1678634,0.036968992,0.992775581
LOC401010,1.3180052,0.036990804,0.992881418
GRN,1.1742722,0.037028347,0.992690224
TRIM6,1.5509629,0.03705727,0.992747119
HIST1H2BM,1.6955988,0.03705974,0.992573994
MXD1,1.2958419,0.03707747,0.992092384
FCHO1,2.5316198,0.037109146,0.992461998
LOC729082,1.3240141,0.037204535,0.992862524
CLEC4G,1.2488745,0.037212992,0.992849775
ARPP19,1.2477471,0.03726232,0.993211995
UBE2G1,1.4634042,0.037265252,0.993051951
MAP3K1,1.2739464,0.037322165,0.993853569
CHP,1.6194707,0.037386694,0.994856704
LOC158435,1.0839682,0.037421081,0.994343075
SLC9A3R2,2.0340295,0.037423752,0.994176318
C1orf94,1.3068962,0.037475141,0.994590426
SRGAP3,1.4937309,0.037479921,0.994479768
CEMP1,1.3174242,0.037501553,0.994578764
PPP5C,1.8740963,0.037538327,0.994841756
C1QA,1.2371185,0.037560048,0.994942843
LOC100129946,1.1816173,0.037588867,0.995231749
CBX7,1.2309506,0.037610812,0.995575579
ARHGDIA,1.1890411,0.03761089,0.995340539
NFATC4,1.9512857,0.037633742,0.995471163
HERC2,1.2628326,0.03763454,0.995255342
SSBP2,2.0671413,0.037642281,0.994749863
PSG2,1.2257674,0.037689327,0.994573996
BAP1,1.4031264,0.03776259,0.995561629
CCNF,1.250964,0.03779795,0.995549075
ADAM28,1.3718606,0.037842374,0.996010933
ZNF174,1.5968081,0.037847045,0.995897983
PARP6,1.2392161,0.037914903,0.996032578
SLC18A3,1.2054677,0.037928218,0.995911486
C19orf22,1.1879641,0.037939805,0.995510024
AGAP3,1.3003424,0.037942501,0.995110832
LOC285708,1.3834047,0.037943201,0.994894376
LLGL2,1.2413418,0.038070552,0.996587492
TP53BP1,1.6095526,0.038086625,0.996304152
DVL3,1.7991986,0.038103717,0.996516676
FBXW4P1,1.8559512,0.038105759,0.99633559
SFXN2,1.5085,0.038116273,0.996141723
RCVRN,1.2466755,0.038148748,0.996053409
POLR3K,1.6109786,0.038149209,0.995831464
HAUS3,1.226293,0.038169094,0.995882646
MAGED2,2.210865,0.038175448,0.995580914
RPS6KB2,2.1626737,0.038210446,0.996026117
POC1B,1.463892,0.038229977,0.996301523
PRR13,1.61831,0.038266736,0.996324856
ZNF346,1.2565448,0.03828986,0.996226682
LARP1B,1.1060146,0.038291632,0.996039575
C16orf46,1.105469,0.038308134,0.996235611
LOC222159,1.1810336,0.038312849,0.996125121
MANBA,1.675098,0.038318307,0.995568215
C20orf186,1.4058828,0.038357615,0.995658324
MRPL17,1.0651047,0.038451623,0.996236811
ZNF43,1.3617301,0.038486081,0.996432613
ZDHHC4,1.6040113,0.038597243,0.99698778
C2orf24,1.1570557,0.03860175,0.996872488
SSH1,1.0434654,0.03860483,0.996720378
FAM98B,1.6439675,0.038613976,0.996724945
NSUN5,1.3463495,0.038624389,0.996530761
C15orf56,1.4608402,0.038626115,0.99634396
NOX3,1.2739317,0.038631085,0.995778713
E4F1,1.6584747,0.038708722,0.997317246
MDH2,1.089736,0.038755675,0.997139808
HIPK1,1.0999978,0.038770432,0.996827101
FAAH2,1.277803,0.038858957,0.997948671
CCDC71,1.2015935,0.038954413,0.998784313
PET112L,1.4183968,0.039034217,0.998526545
RAB2A,1.3239675,0.03911787,0.999516002
UPF1,1.2342927,0.039148595,1.000071104
ZFPL1,1.3334236,0.039169424,1.000143366
MRPL20,1.1809107,0.039241673,0.999920312
LOC642393,1.1809107,0.039241673,0.999920312
KRT72,1.2807585,0.039246664,0.999818215
DKKL1,2.0911307,0.039258323,0.999656881
SAP18,1.5534954,0.039258694,0.99943731
NEK3,1.7762297,0.039271766,0.999083433
ZC3H3,1.7398286,0.039341688,0.999032549
DMTF1,1.3971742,0.039350433,0.998798111
ZPBP2,1.1240585,0.039351725,0.998602818
PYCRL,1.9633138,0.039377157,0.998108534
IQCH,1.4744592,0.039425838,0.998431496
LYG2,1.6535238,0.039480035,0.999120911
YARS2,1.2639211,0.039491562,0.999185074
THSD4,2.6360822,0.039509051,0.99940002
ADCK5,1.8175257,0.039552531,0.999362407
AHRR,4.577252,0.039563973,0.999197139
SP100,1.4895428,0.039569817,0.999117656
CHMP6,1.1044661,0.039623133,0.999782324
PREB,1.0895796,0.039684319,1.000644554
EZH1,1.4289161,0.039685129,1.000437963
SPCS1,1.2799624,0.039687267,1.000264946
CCDC159,1.6705979,0.039700773,1.000151658
COL4A5,1.1437726,0.039713717,1.000250981
USP6,1.6048974,0.039734783,1.000554802
FCER1A,1.531331,0.039741185,1.000036162
COG2,1.9583431,0.039775425,1.000444665
PIGB,1.2014388,0.039797315,1.000768737
MED14,1.279966,0.039812279,1.000465822
ALG3,1.3741922,0.039812792,1.00025252
ANXA6,1.5205493,0.039853715,1.000601974
ACSS1,2.3044243,0.039864911,1.000656992
CUEDC2,1.9259264,0.039983367,1.001819992
PPHLN1,1.4047366,0.040016597,1.001523504
LOC100132214,1.2130746,0.040025895,1.001530637
SIL1,1.1968534,0.040068236,1.001913275
ADD1,1.2070719,0.040086576,1.001920962
CTDP1,1.1653317,0.040107094,1.001757824
ATPBD4,1.7107465,0.040108741,1.001573843
DNAJC14,1.5971951,0.040145471,1.002040687
DOLPP1,1.3315709,0.040145694,1.001821224
PLA2G12A,1.1424403,0.040211161,1.002554374
CRYZL1,1.2424625,0.040224728,1.002442799
LOC100129196,2.083681,0.040238026,1.002549357
CYP4V2,1.6115426,0.040273163,1.002750323
MLX,1.1138484,0.040320559,1.002806946
XRCC6,1.2288736,0.040326566,1.002731933
CLCF1,2.104647,0.040355435,1.002328335
FAM83H,1.8515549,0.04036007,1.001995555
ASL,1.254311,0.040514768,1.003370303
NONO,1.3306549,0.040569175,1.003152737
SR140,1.3293295,0.040570136,1.002953322
SPTBN4,1.2127928,0.040625267,1.003646407
TTTY10,1.2175891,0.040654661,1.00303462
NXF5,1.5092674,0.040667674,1.002910337
SF1,1.3617018,0.040682731,1.003059045
ACTN4,1.4206058,0.04073177,1.003600111
CDK2AP2,2.3399632,0.040754426,1.003713218
OR10K2,1.4258162,0.0407829,1.003969463
C21orf94,1.1245189,0.040818382,1.004175563
CABP4,2.8297727,0.040831534,1.00405455
SPRR2D,1.2368209,0.040906473,1.004341573
SAFB,1.177065,0.040971763,1.004612803
SAP30L,1.4375927,0.040973963,1.00444511
NDUFA13,1.622811,0.040992474,1.004455728
STK10,1.2437497,0.041004374,1.003861872
TSPAN1,2.0145886,0.04105306,1.004389969
ST7L,1.1021951,0.041122141,1.005415991
LOC100130264,1.3448987,0.041201517,1.006249718
ITGAL,1.7318484,0.041217607,1.00620038
ACTN1,1.1959094,0.041252431,1.006829313
CDADC1,1.5521864,0.041271099,1.006842659
NPTN,1.2651755,0.041284703,1.006511632
CA12,2.4187307,0.041285346,1.006085862
LOC728978,1.0765483,0.041291435,1.006013631
EIF4B,1.8097256,0.041316273,1.006398108
MAPK8IP3,1.7007158,0.041320813,1.006067641
BSCL2,1.3657423,0.041384764,1.006522029
FAM173B,1.6824423,0.041398511,1.006195709
PLGLB2,1.4020659,0.041422711,1.006123707
PLGLB1,1.4020659,0.041422711,1.006123707
RPGR,1.2463654,0.041514065,1.007461778
TMEM14C,1.1019025,0.041515441,1.007275184
TXNDC16,1.464274,0.041532803,1.007036803
KIAA0907,1.1390841,0.041631274,1.007445997
ITPKC,1.1510211,0.041634148,1.007296186
TSPYL3,1.4010864,0.041634364,1.007082169
SPAG4,1.2647169,0.041670817,1.006868056
QTRT1,1.4351128,0.041674874,1.006747169
LOC100132738,1.3866282,0.041745372,1.00648102
OR8U1,1.0619136,0.041755355,1.006066862
RHOD,2.5378428,0.041796302,1.006835122
ZNF257,1.5336933,0.041812213,1.006781914
WASH7P,1.3820732,0.041839708,1.007007553
WASH2P,1.3820732,0.041839708,1.007007553
GNPTG,1.3365699,0.041855083,1.007159455
WDR34,1.3951869,0.041880214,1.007327935
LOC729915,1.1878185,0.041907538,1.007767001
PRKCD,1.3227586,0.041938759,1.007863473
CUL4A,1.6231052,0.041943677,1.007763731
ARF3,1.7368163,0.041958777,1.00790861
CLN5,1.5628984,0.041984173,1.008300687
FOXE1,1.0685724,0.041995863,1.008363502
KNDC1,1.129123,0.042009722,1.008478361
RPS27L,1.700552,0.042012481,1.008326775
CDK11A,1.5392593,0.042047479,1.008730998
ZNF207,1.4027088,0.042077607,1.009018107
JAK3,1.1607995,0.042138312,1.009820071
CYP4F12,2.8259845,0.042148583,1.009630745
TMEM25,1.6605767,0.042153485,1.009313025
C10orf95,1.591538,0.042213143,1.009871075
CACNA1D,2.2234297,0.042279494,1.01015355
C7orf26,1.4380141,0.042291171,1.010215356
ZNF282,1.6040337,0.042294837,1.010085791
TEC,1.052023,0.042309019,1.009990358
VPS24,1.1367264,0.042337004,1.010007497
PMS2CL,1.4618138,0.042347009,1.010029335
PMS2,1.4618138,0.042347009,1.010029335
LOC644189,1.910135,0.042366001,1.010265479
ITPKB,1.2754107,0.042373869,1.010236315
NIT1,1.4173013,0.042395418,1.01009993
TRA2A,1.4874579,0.042396662,1.009913024
PCDH15,1.1964804,0.042397723,1.009721854
CPNE3,1.3067275,0.042469827,1.010572708
TFF3,4.241138,0.04248982,1.010615642
LOC283588,1.3532344,0.042495937,1.010328619
PGRMC2,1.8148762,0.042548427,1.010063847
ZNF229,2.0784056,0.042599198,1.010621406
KRTAP12-2,1.3272749,0.042631452,1.010308131
NOC4L,1.209791,0.04266882,1.010331831
NPIP,1.3926753,0.042686981,1.010546519
HOXC11,2.4641716,0.042760431,1.010993058
LOC100130927,1.130641,0.042765698,1.010472604
CD74,1.4157138,0.042826344,1.010187188
RNF187,1.3362947,0.042855503,1.010017407
STX1B,1.5124391,0.042859864,1.009905984
ZNF10,1.504347,0.042983268,1.01109857
C13orf28,1.293578,0.042995771,1.011178637
CCDC53,1.4017652,0.043022419,1.010949516
KCNJ13,1.1772697,0.043055024,1.01107427
RNF167,1.4511132,0.043058199,1.010935179
ATP2B4,1.1677054,0.043116153,1.011227588
CENPT,1.3463092,0.043128553,1.01130496
SARS2,1.2261254,0.043207234,1.012295473
RNF135,1.3175062,0.043208329,1.012107736
PRDM11,1.163974,0.04321963,1.011945828
TSPAN32,1.482121,0.043253573,1.012313974
KIAA1704,1.3292285,0.043277254,1.012441751
CSNK2B,1.2705505,0.043287338,1.012464506
TM7SF3,1.5717081,0.043298294,1.012507634
ILDR1,1.0601832,0.043330321,1.012617293
ZFP161,1.2308068,0.043337163,1.012564249
MKS1,1.2680718,0.043349015,1.012628262
ITGA2B,1.2299517,0.043350919,1.012459901
VAV3,2.7605956,0.043360165,1.012463036
LOC100190986,1.6966245,0.043376155,1.012410946
ASCL2,1.7850647,0.043439481,1.013463238
C14orf73,1.4274876,0.043470436,1.013759766
PPP2R3C,1.3340315,0.04347212,1.013586322
BST2,1.7418162,0.043502006,1.013857673
PRKACG,1.1504886,0.043543078,1.014176781
ACOX3,1.3726517,0.043553352,1.013991013
MOG,1.1021087,0.04356304,1.014004119
FAM86B2,1.0560564,0.04356322,1.013795954
FAM86B1,1.0560564,0.04356322,1.013795954
SRP14,1.7048197,0.043581894,1.014018169
ZNF799,1.209326,0.043785675,1.016418539
PHF11,1.3551576,0.043872256,1.01609351
IQCF2,1.1714386,0.043875781,1.015963423
C21orf2,1.9720916,0.043969205,1.017278784
HARS2,1.1431044,0.044008557,1.017553657
HIST1H2BO,1.5937417,0.044012901,1.017442389
LOC644006,1.0891664,0.044018852,1.017368314
RNF4,1.0891664,0.044018852,1.017368314
SOX21,1.2493898,0.044021877,1.017226664
PIK3R2,1.6915672,0.044026465,1.017121189
EXOC4,1.2805358,0.044034068,1.01708538
GABRG2,1.1315287,0.044057938,1.017213858
PRSS53,1.1583748,0.044133038,1.018313033
SERPINA9,1.390182,0.044218332,1.019011553
CYP2F1,1.3193002,0.04422011,1.018841236
MIOX,1.1518145,0.044221901,1.018460177
MIIP,1.3309647,0.044243945,1.018545666
SPATA20,1.6208874,0.044268316,1.018473729
MCM7,1.2476017,0.0443639,1.01898505
TSGA10IP,1.4080647,0.044373504,1.018995006
OR6B1,1.172783,0.044417012,1.018941298
RAB4B,1.8812426,0.044426809,1.018745426
MIA,1.8812426,0.044426809,1.018745426
MAP9,1.529071,0.044474988,1.019219249
PPM1M,1.9483051,0.044527328,1.01936759
CX3CR1,2.256518,0.044535228,1.019128519
LRRFIP1,1.326251,0.044586096,1.018614457
F11,1.1347731,0.044612359,1.018795558
ANO1,2.7246387,0.044687257,1.01883095
C16orf79,2.5196466,0.044722119,1.019207563
LCE2B,1.0269436,0.044737706,1.019144746
TRDN,1.116618,0.044742169,1.019037518
AP2A1,1.6092029,0.044759792,1.019021172
AHSP,1.2717394,0.04476101,1.018840178
C3orf35,1.1428998,0.044772508,1.018684563
VGLL2,1.2943172,0.044822717,1.018992389
NUP133,1.4092078,0.044857005,1.019146389
SCUBE2,2.6984901,0.044887702,1.019010449
KIAA1737,1.2649807,0.04491304,1.018753152
ZNF92,1.6069691,0.044919085,1.018682334
DCLRE1B,1.0946611,0.044963421,1.01906388
TTC31,1.4486742,0.044967122,1.018939957
LOC253039,1.1910573,0.045057337,1.019528911
TELO2,1.5886717,0.045057461,1.019324158
LCE2C,1.1170983,0.045081204,1.019653698
SHISA3,5.2851677,0.045153799,1.020049929
PCMTD1,1.3601742,0.045159802,1.019978187
LOC202781,1.359153,0.045167133,1.019729249
FLJ10661,1.3410318,0.045183623,1.01989431
CARNS1,2.1635816,0.045208955,1.019430745
TTC15,1.6116866,0.045271019,1.018969307
ADAMTS10,1.1192726,0.04527345,1.01881765
CELF6,1.3885415,0.045275008,1.018646428
CSRP3,1.6563659,0.045284632,1.01824446
SUPT5H,1.2635682,0.045293677,1.018035853
MRPL53,1.2156056,0.045298286,1.017933562
EIF5,1.5023929,0.045299687,1.017759229
ATP6V0E2,1.3898711,0.045331451,1.018266992
GLI4,2.1158378,0.045358534,1.018257858
ZNF525,1.2608707,0.0454442,1.018740324
TMEM202,1.3283502,0.045453628,1.018335384
EIF2B5,1.525833,0.04547484,1.018399968
CRYGA,1.0459901,0.045504518,1.018448842
MLL4,1.738218,0.045520731,1.018606554
POTEB,2.212499,0.0455438,1.018302545
MAD1L1,1.1413491,0.045550389,1.018244992
NINJ1,1.22665,0.045560742,1.018271592
C22orf13,1.2976102,0.045606181,1.017649721
SIGLEC12,1.5165781,0.045617972,1.017708476
METAP2,1.1162521,0.045624175,1.017642549
GPS1,1.3798337,0.045627149,1.01750466
PSENEN,1.4890549,0.045665909,1.01775629
TFAP2A,1.1281397,0.045682028,1.017503301
LOC100128816,1.4595563,0.045695583,1.017397369
HIP1,1.1038283,0.045695621,1.017194406
LHX4,1.3300726,0.045696362,1.017007169
SFRS11,1.1917187,0.045703909,1.016971457
